"eps","supplier","retailer"
0.1,4.77027526224887,3.87708023800007
0.15,4.6004603115929,2.68172053104498
0.2,4.5063024612806,2.18008912361768
0.25,4.45334949238566,1.96119640847136
0.3,4.4237448888904,1.84624693708523
0.35,4.40617323822163,1.77440206496878
0.4,4.39496047775339,1.72636286436304
0.45,4.38754405552711,1.69309512973074
0.5,4.38220977502717,1.66861620519165
0.55,4.37832635328717,1.65029929637166
0.6,4.37542434555802,1.63624559059009
0.65,4.37320440805901,1.62523102715521
0.7,4.37147268378982,1.61644471727186
0.75,4.37009800406291,1.60932670176652
0.8,4.36899060170881,1.60347842412537
0.85,4.36811255554105,1.59867479911241
0.9,4.36736777435053,1.5945873572732
