"n","cont_nonp","cont_dp","atq_nonp","atq_dp","away_nonp","away_dp"
3000,0.00252290912294546,0.0297082518216962,0.0175661046349457,0.129530273501317,0.00870327038508083,0.0298083713316705
4000,0.00180641649456681,0.0177297300258587,0.0160217148985298,0.0961628221734153,0.00652812008493356,0.018547129394447
5000,0.00148303337671294,0.011679344906819,0.0146123682543296,0.0792353792484329,0.00581735750477983,0.0144050476703558
6000,0.00105619192018463,0.0113571606011055,0.0138216256553872,0.0767734583618406,0.00443545814663387,0.012835467305482
7000,0.000945192024797078,0.00884445611814286,0.0130886639888588,0.0709745887052055,0.00389239491762199,0.0109627899813386
8000,0.000877789611868303,0.00728676592681275,0.0126157367718744,0.0654794019612282,0.00346981890081903,0.009200246932918
