"model","n","NN_np","NN_priv_0.5","NN_priv_0.7","NN_priv_0.9"
1,10000,0.0330981912817163,0.895883715478165,0.709108404924815,0.536969061895764
1,20000,0.0328103251405888,0.506459282340305,0.335722381715846,0.231994864688413
1,30000,0.0327886444095451,0.296081220267883,0.188800498837597,0.132500541820733
1,40000,0.0327364080543408,0.20458864855199,0.128532303898988,0.097400478345662
1,50000,0.0327933068337191,0.148738240319545,0.0975688796850573,0.0759832067348022
1,60000,0.0326600062035333,0.121805302349129,0.0823163537637363,0.0634682822544504
1,70000,0.0326795384524132,0.0985866031798588,0.06798359274128,0.0552801318958732
1,80000,0.0328196266090277,0.0854992158931009,0.0606884389400635,0.0509021990846942
1,90000,0.0325780359301626,0.0761705800977167,0.0556202357576997,0.0464361104415606
1,1e+05,0.0326708601110106,0.0687863269430925,0.0510735355984162,0.0447884037225759
2,10000,0.0205917953031247,0.943429074464228,0.73981155099215,0.543793953790977
2,20000,0.0204521222165912,0.53169000961029,0.333641979465359,0.224487298414439
2,30000,0.0204555149381769,0.294202577987645,0.176907383762655,0.115388261920289
2,40000,0.0203552361498416,0.189119011005406,0.111728623280351,0.077284134305039
2,50000,0.0203899965063337,0.130529076041815,0.0771083527459318,0.0560994624085841
2,60000,0.0203438984781033,0.102872033440111,0.0620406950647184,0.044561987785941
2,70000,0.0202551774794826,0.081112565529742,0.0490679050196855,0.0379146715289488
2,80000,0.0203167419642671,0.0659075875536432,0.0419569783343531,0.033750964965124
2,90000,0.0202307823124345,0.0574297761299469,0.0376526111822329,0.0302942359492844
2,1e+05,0.0202766769462869,0.0487670491768583,0.0339398620357166,0.0288753528543016
