"CDP","HDP_K2","HDP_K4","LDP"
0.016563358683836,0.086140278349165,0.534835233366681,1.67946856483049
0.00721219236654997,0.0358010885047664,0.20391235845795,1.41053713148001
0.00379456834622541,0.0162046890716004,0.0931358509828876,1.05987274100128
0.0027813581902912,0.0132077686906598,0.0719480738308158,1.08586841079222
0.00193465017599016,0.0086496404962671,0.0505716769367386,0.993815320971927
0.00157214542409679,0.0061724256938083,0.0352778595036527,0.829039014958797
0.00120283646470904,0.00459683624856223,0.0249516644867838,0.719191452027364
0.000976224277915594,0.00350337975098623,0.018859406819391,0.615772503220579
0.000821562471395978,0.00288005611182936,0.0154643377639567,0.581711837360662
0.000850944021701397,0.00303805805834587,0.0164761371125744,0.68535957851344
0.00069189848981004,0.0026243624118699,0.0139752536117136,0.631662555390888
0.000607350323954732,0.00211762994080977,0.010942973989788,0.602360222508081
0.000591083919473382,0.00186908949384742,0.0102100876804789,0.58350322025843
0.000481696518096804,0.00174474374076544,0.0090067954009763,0.536307740588698
0.000497930181017894,0.00150114323755897,0.007316651523755,0.51035051398853
